NEW_JOB_RELEASED, task 1, job 1, at cycle: 678070.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 1, at cycle: 678255.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 1, at cycle: 678391.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 1, at cycle: 678403.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 1, at cycle: 678414.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 1, at cycle: 678419.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 1, at cycle: 678478.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 1, at cycle: 678480.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 1, at cycle: 678587.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 1, at cycle: 678589.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 1, at cycle: 678609.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 1, at cycle: 678617.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 1, at cycle: 678634.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 1, at cycle: 678680.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 1, at cycle: 678682.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 1, at cycle: 678729.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 1, at cycle: 678730.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 1, at cycle: 678819.000000
NEW_JOB_RELEASED, task 2, job 1, at cycle: 698159.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 1, at cycle: 698289.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 1, at cycle: 698354.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 1, at cycle: 698364.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 1, at cycle: 698376.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 1, at cycle: 698380.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 1, at cycle: 698428.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 1, at cycle: 698429.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 1, at cycle: 698439.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 1, at cycle: 698441.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 1, at cycle: 698445.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 1, at cycle: 698447.000000
