NEW_JOB_RELEASED, task 1, job 1, at cycle: 190199.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 1, at cycle: 190387.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 1, at cycle: 190552.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 1, at cycle: 190566.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 1, at cycle: 190580.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 1, at cycle: 190584.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 1, at cycle: 190682.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 1, at cycle: 190684.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 1, at cycle: 190700.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 1, at cycle: 190702.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 1, at cycle: 190722.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 1, at cycle: 190730.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 1, at cycle: 190750.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 1, at cycle: 190841.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 1, at cycle: 190843.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 1, at cycle: 190888.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 1, at cycle: 190890.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 1, at cycle: 190988.000000
NEW_JOB_RELEASED, task 2, job 1, at cycle: 210311.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 1, at cycle: 210451.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 1, at cycle: 210524.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 1, at cycle: 210537.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 1, at cycle: 210551.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 1, at cycle: 210554.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 1, at cycle: 210609.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 1, at cycle: 210611.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 1, at cycle: 210624.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 1, at cycle: 210626.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 1, at cycle: 210655.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 1, at cycle: 210657.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 1, at cycle: 210729.000000
NEW_JOB_RELEASED, task 1, job 2, at cycle: 240446.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 2, at cycle: 240521.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 2, at cycle: 240594.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 2, at cycle: 240606.000000
NODE_EXECUTION_STARTED, task 1, sequence 2, node 3, job 2, at cycle: 240619.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 4, job 2, at cycle: 240626.000000
NODE_EXECUTION_FINISHED, task 1, sequence 2, node 3, job 2, at cycle: 240692.000000
SEQUENCE_TERMINATED, task 1, sequence 2, before node 5, job 2, at cycle: 240694.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 2, job 2, at cycle: 240714.000000
SEQUENCE_TERMINATED, task 1, sequence 1, before node 5, job 2, at cycle: 240716.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 4, job 2, at cycle: 240734.000000
NODE_EXECUTION_STARTED, task 1, sequence 3, node 5, job 2, at cycle: 240741.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 6, job 2, at cycle: 240760.000000
NODE_EXECUTION_FINISHED, task 1, sequence 3, node 5, job 2, at cycle: 240814.000000
SEQUENCE_TERMINATED, task 1, sequence 3, before node 7, job 2, at cycle: 240815.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 6, job 2, at cycle: 240868.000000
NODE_EXECUTION_STARTED, task 1, sequence 4, node 7, job 2, at cycle: 240870.000000
NODE_EXECUTION_FINISHED, task 1, sequence 4, node 7, job 2, at cycle: 240943.000000
NEW_JOB_RELEASED, task 2, job 2, at cycle: 280528.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 1, job 2, at cycle: 280607.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 1, job 2, at cycle: 280679.000000
NODE_EXECUTION_STARTED, task 2, sequence 1, node 2, job 2, at cycle: 280691.000000
NODE_EXECUTION_STARTED, task 2, sequence 2, node 3, job 2, at cycle: 280708.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 4, job 2, at cycle: 280712.000000
NODE_EXECUTION_FINISHED, task 2, sequence 1, node 2, job 2, at cycle: 280764.000000
SEQUENCE_TERMINATED, task 2, sequence 1, before node 5, job 2, at cycle: 280766.000000
NODE_EXECUTION_FINISHED, task 2, sequence 2, node 3, job 2, at cycle: 280781.000000
SEQUENCE_TERMINATED, task 2, sequence 2, before node 5, job 2, at cycle: 280783.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 4, job 2, at cycle: 280784.000000
NODE_EXECUTION_STARTED, task 2, sequence 3, node 5, job 2, at cycle: 280786.000000
NODE_EXECUTION_FINISHED, task 2, sequence 3, node 5, job 2, at cycle: 280858.000000
NEW_JOB_RELEASED, task 1, job 3, at cycle: 290577.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 1, job 3, at cycle: 290650.000000
NODE_EXECUTION_FINISHED, task 1, sequence 1, node 1, job 3, at cycle: 290722.000000
NODE_EXECUTION_STARTED, task 1, sequence 1, node 2, job 3, at cycle: 290735.000000
